Product_name,Brand,Images,Original_price,Sale_price,SKU,Short_description,Short_description_img,Long_description,Category,Tags,Page,Source_link
"Rolex Day-Date II 36mm Green Dial 128238","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/35667395-v6pc3r8y1n82f9qy722q08x9-Zoom.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-1.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-2.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-3.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-4.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-5.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-6.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-7.webp,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-128238-8.webp","$399","","CLONE93-1","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date II</td>;</tr>;<tr>;<th>Reference</th>;<td>128238</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>41 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Yellow Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Yellow Gold Plated (President)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Green</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-day-date-ii-36mm-green-dial-128238/"
"Rolex Day-Date II 41mm Black Dial 218235-2","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1-28.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_1-25.jpg,https://dealsyity.com/wp-content/uploads/2024/12/1_2-25.jpg","$399","","CLONE96","<p>Rl</p>","","<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date II</td>;</tr>;<tr>;<th>Reference</th>;<td>218235</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>41 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Rose Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Rose Gold Plated (President)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Black</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-day-date-ii-41mm-black-dial-218235-2/"
"Rolex Day-Date II 41mm Silver Dial 218239","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/RdayD118209_front-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/RdayD118209_2-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/DE62444-5478.jpeg","$399","","CLONE34","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date II</td>;</tr>;<tr>;<th>Reference</th>;<td>218239</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>41 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>316 Grade Stainless Steel</td>;</tr>;<tr>;<th>Band Material</th>;<td>316 Grade Stainless Steel (President)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Silver</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>;<p><img class=""alignnone wp-image-170351"" src=""http://dealsyity.com/wp-content/uploads/2024/12/DE62444-5478.jpeg"" alt="""" width=""480"" height=""360"" /></p>","watches","#2026, #2026watch20, #Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-day-date-ii-41mm-silver-dial-218239/"
"Rolex Day-Date 40 mm Black Dial 228238","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/1100xxs-1.webp,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801241271.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801393028.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801537843.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801687993.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801824244.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801873378.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183801945430.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183802032963.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/watch_164183802282505.jpeg","$355","","2023RL-23-1-1","<p>Rl</p>","","<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>228238</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>18k yellow gold</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Fluted</td>;</tr>;<tr>;<th>Dial</th>;<td>Black</td>;</tr>;<tr>;<th>Band material</th>;<td>President, semi-circular three-piece links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>18k yellow gold</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Quality</th>;<td>Swiss (ETA)</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-day-date-40-mm-black-dial-228238/"
"Rolex Daytona “Panda” 40 mm White Dial 126500LN","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/3024CB00-AAB6-415E-8814-A99986658E76_2048x.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-6.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-7.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-11.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-8.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-9.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-10.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-12.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory-13.jpg,https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Cosmograph-Daytona-126500-Panda-Replica-Clean-Factory.jpg,https://dealsyity.com/wp-content/uploads/2024/12/DE61898-3832.jpeg","$360","","PR-146754","<p>Rl</p>","","<div>;<div id=""row-1623013332"" class=""row row-large"">;<div id=""col-295319976"" class=""col small-12 large-12"">;<div class=""col-inner"">;<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>126500LN</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Daytona</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>Oystersteel</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Black monobloc Cerachrom</td>;</tr>;<tr>;<th>Dial</th>;<td>White</td>;</tr>;<tr>;<th>Band material</th>;<td>Oyster, three-piece solid links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>Ceramic</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th></th>;<td></td>;</tr>;</tbody>;</table>;</div>;</div>;</div>;</div>","watches","","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-daytona-panda-40-mm-white-dial-126500ln/"
"Rolex Day-Date II 41mm Chocolate Dial 218235","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/RdayD218235_front.jpg,https://dealsyity.com/wp-content/uploads/2024/12/RdayD218235_1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/RdayD218235_2.jpg","$399","","CLONE30","<p>Rl</p>","","</p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date II</td>;</tr>;<tr>;<th>Reference</th>;<td>218235</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case Diameter</th>;<td>41 mm</td>;</tr>;<tr>;<th>Case Material</th>;<td>Gold Plated</td>;</tr>;<tr>;<th>Band Material</th>;<td>Gold Plated (President)</td>;</tr>;<tr>;<th>Dial Color</th>;<td>Chocolate</td>;</tr>;<tr>;<th>Quality</th>;<td>Japanese (Miyota)</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Water Resistance</th>;<td>Waterproof up to 30 meters.</td>;</tr>;</tbody>;</table>","watches","#Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/rolex-day-date-ii-41mm-chocolate-dial-218235/"
"Rolex Day-Date 40 mm Silver Dial 228238","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Thap-cam-1.png,https://dealsyity.com/wp-content/uploads/2024/12/DSC01757_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DSC01758_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DSC01759_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DSC01760_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DSC01761_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DSC01762_4_1800x1800.webp,https://dealsyity.com/wp-content/uploads/2024/12/DE61724.jpeg","$339","","2023RL-23","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>228238</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>18k yellow gold</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Fluted</td>;</tr>;<tr>;<th>Dial</th>;<td>Silver</td>;</tr>;<tr>;<th>Band material</th>;<td>President, semi-circular three-piece links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>18k yellow gold</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;</tbody>;</table>","watches","","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-day-date-40-mm-silver-dial-228238/"
"Rolex Day-Date 40 mm Ice blue Dial 228236","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-1-1-e1735285845449.webp,https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/228236-0018-5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/DE61753-3366.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/WhatsApp-Image-2026-02-05-at-16.07.52.jpeg","$360","","2023RL-37","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>228236</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>Platinum</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Fluted</td>;</tr>;<tr>;<th>Dial</th>;<td>Ice blue</td>;</tr>;<tr>;<th>Band material</th>;<td>President, semi-circular three-piece links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>Platinum</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;</tbody>;</table>;<p><img class=""alignnone wp-image-170499"" src=""http://dealsyity.com/wp-content/uploads/2024/12/WhatsApp-Image-2026-02-05-at-16.07.52.jpeg"" alt="""" width=""480"" height=""360"" /></p>","watches","#2026, #2026watch20","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-day-date-40-mm-ice-blue-dial-228236/"
"Rolex Day-Date 40 mm Chocolate Dial 228345RBR","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/Rolex-Day-Date-40-mm-Chocolate-Dial-228345RBR.png,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_2.jpg,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_3.jpg,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_4.jpg,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_5.jpg,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_6-1.jpg,https://dealsyity.com/wp-content/uploads/2024/12/day-date-40-automatic-diamond-mat-nau-day-mau-vang-18k-228345_8.jpg,https://dealsyity.com/wp-content/uploads/2024/12/DE61421-2234.jpeg","$355","","2023RL-22","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>228345RBR</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>18k Everose gold</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Set with diamonds</td>;</tr>;<tr>;<th>Dial</th>;<td>Chocolate</td>;</tr>;<tr>;<th>Band material</th>;<td>President, semi-circular three-piece links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>Set with diamonds</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;</tbody>;</table>","watches","#2026, #2026watch20, #Ads-Lists-men","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-day-date-40-mm-chocolate-dial-228345rbr/"
"Rolex Day-Date 40 mm Bright black Dial 228348RBR","Rolex","https://dealsyity.com/wp-content/uploads/2024/12/rolex-3-1.png,https://dealsyity.com/wp-content/uploads/2024/12/3.png,https://dealsyity.com/wp-content/uploads/2024/12/4.png,https://dealsyity.com/wp-content/uploads/2024/12/5.png,https://dealsyity.com/wp-content/uploads/2024/12/40mm-1-600x6006-1.png,https://dealsyity.com/wp-content/uploads/2024/12/40mm-1-600x6008-1.png,https://dealsyity.com/wp-content/uploads/2024/12/DE61484-2442.jpeg,https://dealsyity.com/wp-content/uploads/2024/12/DE62396-5335.jpeg","$349","","2023RL-20","<p>Rl</p>","","<p></p>;<table class=""expert-table"">;<tbody>;<tr>;<th>Brand</th>;<td>Rolex</td>;</tr>;<tr>;<th>Reference</th>;<td>228348RBR</td>;</tr>;<tr>;<th>Gender</th>;<td>Men’s watch</td>;</tr>;<tr>;<th>Model</th>;<td>Day-Date</td>;</tr>;<tr>;<th>Movement</th>;<td>Kinetic (Automatic)</td>;</tr>;<tr>;<th>Case material</th>;<td>18k yellow gold</td>;</tr>;<tr>;<th>Case diameter</th>;<td>40 mm</td>;</tr>;<tr>;<th>Bezel</th>;<td>Set with diamonds</td>;</tr>;<tr>;<th>Dial</th>;<td>Bright black</td>;</tr>;<tr>;<th>Band material</th>;<td>President, semi-circular three-piece links</td>;</tr>;<tr>;<th>Bezel Material</th>;<td>Set with diamonds</td>;</tr>;<tr>;<th>Water Resistant</th>;<td>SuperClone watches are waterproof up to 30 meters.</td>;</tr>;<tr>;<th>Glass</th>;<td>Sapphire crystal</td>;</tr>;<tr>;<th>Quality</th>;<td>Premium ETA-Type Movement</td>;</tr>;</tbody>;</table>;<p><img class=""alignnone wp-image-170163"" src=""http://dealsyity.com/wp-content/uploads/2024/12/DE62396-5335.jpeg"" alt="""" width=""480"" height=""360"" /></p>","watches","#2026, #2026watch20","1","https://dealsyity.com/shop/for-men/mens-watches/superclone-rolex-day-date-40-mm-bright-black-dial-228348rbr/"
